Nbhood,District,Care In Hospital
Burgazada,Adalar,24
Heybeliada,Adalar,66
Kinaliada,Adalar,15
Maden,Adalar,64
Nizam,Adalar,48
Adnan menderes,Arnavutkoy,1
Anadolu,Arnavutkoy,8
Arnavutkoy merkez,Arnavutkoy,2
Ataturk,Arnavutkoy,2
Baklali,Arnavutkoy,0
Balaban,Arnavutkoy,0
Bogazkoy istiklal,Arnavutkoy,3
Bolluca,Arnavutkoy,1
Boyalik,Arnavutkoy,0
Cilingir,Arnavutkoy,0
Deliklikaya,Arnavutkoy,0
Dursunkoy,Arnavutkoy,0
Durusu,Arnavutkoy,0
Fatih,Arnavutkoy,0
Hacimasli,Arnavutkoy,0
Hadimkoy,Arnavutkoy,0
Haracci,Arnavutkoy,0
Hastane,Arnavutkoy,0
Hicret,Arnavutkoy,0
Imrahor,Arnavutkoy,2
Islambey,Arnavutkoy,4
Karaburun,Arnavutkoy,0
Karlibayir,Arnavutkoy,1
Maresal fevzi cakmak,Arnavutkoy,0
Mavigol,Arnavutkoy,0
Mehmet akif ersoy,Arnavutkoy,0
Mustafa kemal pasa,Arnavutkoy,3
Nenehatun,Arnavutkoy,0
Omerli,Arnavutkoy,0
Sazlibosna,Arnavutkoy,0
Tasoluk,Arnavutkoy,1
Tayakadin,Arnavutkoy,0
Terkos,Arnavutkoy,0
Yassioren,Arnavutkoy,0
Yavuz selim,Arnavutkoy,1
Yenikoy,Arnavutkoy,0
Yesilbayir,Arnavutkoy,0
Yunus emre,Arnavutkoy,5
Asikveysel,Atasehir,12
Ataturk,Atasehir,11
Barbaros,Atasehir,42
Esatpasa,Atasehir,14
Ferhatpasa,Atasehir,5
Fetih,Atasehir,3
Icerenkoy,Atasehir,61
Inonu,Atasehir,14
Kayisdagi,Atasehir,31
Kucukbakkalkoy,Atasehir,35
Mevlana,Atasehir,7
Mimar sinan,Atasehir,7
Mustafa kemal,Atasehir,18
Ornek,Atasehir,25
Yeni camlica,Atasehir,11
Yenisahra,Atasehir,32
Yenisehir,Atasehir,2
Ambarli,Avcilar,191
Cihangir,Avcilar,252
Denizkoskler,Avcilar,212
Firuzkoy,Avcilar,61
Gumuspala,Avcilar,184
Merkez,Avcilar,124
Mustafa kemalpasa,Avcilar,134
Tahtakale,Avcilar,26
Universite,Avcilar,55
Yesilkent,Avcilar,146
100. yil,Bagcilar,25
Baglar,Bagcilar,90
Barbaros,Bagcilar,133
Cinar,Bagcilar,215
Demirkapi,Bagcilar,192
Evren,Bagcilar,190
Fatih,Bagcilar,107
Fevzi cakmak,Bagcilar,118
Goztepe,Bagcilar,71
Gunesli,Bagcilar,190
Hurriyet,Bagcilar,171
Inonu,Bagcilar,169
Kazim karabekir,Bagcilar,174
Kemalpasa,Bagcilar,81
Kirazli,Bagcilar,203
Mahmutbey,Bagcilar,110
Merkez,Bagcilar,137
Sancaktepe,Bagcilar,92
Yavuz selim,Bagcilar,125
Yenigun,Bagcilar,138
Yenimahalle,Bagcilar,128
Yildiztepe,Bagcilar,289
Bahcelievler,Bahcelievler,480
Cumhuriyet,Bahcelievler,254
Cobancesme,Bahcelievler,217
Fevzi cakmak,Bahcelievler,180
Hurriyet,Bahcelievler,335
Kocasinan merkez,Bahcelievler,394
Siyavuspasa,Bahcelievler,567
Soganli,Bahcelievler,491
Sirinevler,Bahcelievler,592
Yenibosna merkez,Bahcelievler,193
Zafer,Bahcelievler,558
Atakoy 1. kisim,Bakirkoy,31
Atakoy 2-5-6. kisim,Bakirkoy,176
Atakoy 3-4-11. kisim,Bakirkoy,110
Atakoy 7-8-9-10. kisim,Bakirkoy,165
Basinkoy,Bakirkoy,123
Cevizlik,Bakirkoy,74
Kartaltepe,Bakirkoy,424
Osmaniye,Bakirkoy,225
Sakizagaci,Bakirkoy,104
Senlikkoy,Bakirkoy,324
Yenimahalle,Bakirkoy,108
Yesilkoy,Bakirkoy,413
Yesilyurt,Bakirkoy,91
Zeytinlik,Bakirkoy,70
Zuhuratbaba,Bakirkoy,263
Altinsehir,Basaksehir,28
Bahcesehir 1. kisim,Basaksehir,11
Bahcesehir 2. kisim,Basaksehir,53
Basak,Basaksehir,7
Basaksehir,Basaksehir,6
Guvercintepe,Basaksehir,80
Kayabasi,Basaksehir,9
Sahintepe,Basaksehir,54
Samlar,Basaksehir,0
Ziya gokalp,Basaksehir,39
Altintepsi,Bayrampasa,161
Cevatpasa,Bayrampasa,51
Ismet pasa,Bayrampasa,108
Kartaltepe,Bayrampasa,180
Kocatepe,Bayrampasa,82
Muratpasa,Bayrampasa,245
Ortamahalle,Bayrampasa,106
Terazidere,Bayrampasa,93
Vatan,Bayrampasa,60
Yenidogan,Bayrampasa,122
Yildirim,Bayrampasa,186
Abbasaga,Besiktas,4
Akat,Besiktas,5
Arnavutkoy,Besiktas,0
Balmumcu,Besiktas,1
Bebek,Besiktas,2
Cihannuma,Besiktas,5
Dikilitas,Besiktas,7
Etiler,Besiktas,2
Gayrettepe,Besiktas,6
Konaklar,Besiktas,4
Kurucesme,Besiktas,0
Kultur,Besiktas,1
Levazim,Besiktas,1
Levent,Besiktas,1
Mecidiye,Besiktas,17
Muradiye,Besiktas,3
Nisbetiye,Besiktas,2
Ortakoy,Besiktas,9
Sinanpasa,Besiktas,10
Turkali,Besiktas,10
Ulus,Besiktas,1
Visnezade,Besiktas,4
Yildiz,Besiktas,4
Acarlar,Beykoz,0
Akbaba,Beykoz,0
Alibahadir,Beykoz,0
Anadolu feneri,Beykoz,0
Anadolu hisari,Beykoz,2
Anadolu kavagi,Beykoz,0
Baklaci,Beykoz,0
Bozhane,Beykoz,0
Cumhuriyet,Beykoz,0
Camlibahce,Beykoz,14
Cengeldere,Beykoz,0
Ciftlik,Beykoz,0
Cigdem,Beykoz,0
Cubuklu,Beykoz,13
Dereseki,Beykoz,0
Elmali,Beykoz,0
Fatih,Beykoz,0
Goksu,Beykoz,6
Gollu,Beykoz,0
Gorele,Beykoz,0
Goztepe,Beykoz,5
Gumussuyu,Beykoz,8
Incirkoy,Beykoz,5
Ishakli,Beykoz,0
Kanlica,Beykoz,0
Kavacik,Beykoz,13
Kaynarca,Beykoz,0
Kilicli,Beykoz,0
Mahmutsevketpasa,Beykoz,0
Merkez,Beykoz,0
Ortacesme,Beykoz,5
Ogumce,Beykoz,0
Ornekkoy,Beykoz,0
Pasabahce,Beykoz,4
Pasamandira,Beykoz,0
Polonezkoy,Beykoz,0
Poyrazkoy,Beykoz,0
Riva,Beykoz,0
Ruzgarlibahce,Beykoz,6
Soguksu,Beykoz,0
Tokatkoy,Beykoz,9
Yalikoy,Beykoz,7
Yavuz selim,Beykoz,0
Yeni mahalle,Beykoz,15
Zerzavatci,Beykoz,0
Adnan kahveci,Beylikduzu,285
Baris,Beylikduzu,222
Buyuksehir,Beylikduzu,65
Cumhuriyet,Beylikduzu,95
Dereagzi,Beylikduzu,80
Gurpinar,Beylikduzu,104
Kavakli,Beylikduzu,147
Marmara,Beylikduzu,152
Sahil,Beylikduzu,37
Yakuplu,Beylikduzu,269
Arap cami,Beyoglu,1
Asmali mescit,Beyoglu,1
Bedrettin,Beyoglu,2
Bereketzade,Beyoglu,1
Bostan,Beyoglu,20
Bulbul,Beyoglu,4
Camiikebir,Beyoglu,34
Cihangir,Beyoglu,2
Catma mescit,Beyoglu,3
Cukur,Beyoglu,3
Emekyemez,Beyoglu,1
Evliya celebi,Beyoglu,1
Fetihtepe,Beyoglu,19
Firuzaga,Beyoglu,4
Gumussuyu,Beyoglu,2
Haciahmet,Beyoglu,28
Hacimimi,Beyoglu,5
Halicioglu,Beyoglu,31
Huseyinaga,Beyoglu,1
Istiklal,Beyoglu,27
Kadi mehmet efendi,Beyoglu,19
Kalyoncu kullugu,Beyoglu,6
Kamer hatun,Beyoglu,2
Kaptanpasa,Beyoglu,32
Katipmustafa celebi,Beyoglu,1
Kececi piri,Beyoglu,29
Kemankes karamustafapasa,Beyoglu,5
Kilicali pasa,Beyoglu,2
Kocatepe,Beyoglu,2
Kulaksiz,Beyoglu,32
Kuloglu,Beyoglu,2
Kucuk piyale,Beyoglu,29
Mueyyetzade,Beyoglu,1
Omer avni,Beyoglu,5
Ornektepe,Beyoglu,40
Piripasa,Beyoglu,57
Piyalepasa,Beyoglu,26
Purtelas hasan efendi,Beyoglu,4
Sururi mehmet efendi,Beyoglu,24
Sutluce,Beyoglu,55
Sahkulu,Beyoglu,1
Sehit muhtar,Beyoglu,2
Tomtom,Beyoglu,3
Yahya kahya,Beyoglu,31
Yenisehir,Beyoglu,9
19 mayis,Buyukcekmece,35
Ahmediye,Buyukcekmece,3
Alkent 2000,Buyukcekmece,6
Ataturk,Buyukcekmece,76
Bahcelievler,Buyukcekmece,7
Celaliye,Buyukcekmece,4
Cumhuriyet,Buyukcekmece,31
Cakmakli,Buyukcekmece,22
Dizdariye,Buyukcekmece,53
Ekinoba,Buyukcekmece,40
Fatih,Buyukcekmece,88
Guzelce,Buyukcekmece,30
Hurriyet,Buyukcekmece,68
Kamiloba,Buyukcekmece,1
Karaagac,Buyukcekmece,0
Kumburgaz,Buyukcekmece,17
Mimar sinan merkez,Buyukcekmece,61
Mimaroba,Buyukcekmece,63
Murat cesme,Buyukcekmece,49
